FECHA;IMPORTE
07/09/2023 22:00;1984,49
07/09/2023 22:00;80283,1
07/09/2023 22:00;85227,23
07/09/2023 22:00;28806,55
07/09/2023 22:00;4282,19
18/09/2023 22:00;28156,41
27/09/2023 22:00;21372,05
28/09/2023 22:00;14912,27
02/10/2023 22:00;394934,61
04/10/2023 22:00;372801,19
05/10/2023 22:00;17736,87
09/10/2023 22:00;13679,3
17/10/2023 22:00;81022,94
17/10/2023 22:00;289165,26
18/10/2023 22:00;84275,06
26/10/2023 22:00;41034,18
05/11/2023 23:00;84019,01
07/11/2023 23:00;79675,45
07/11/2023 23:00;137507,65
07/11/2023 23:00;16442,2
23/11/2023 23:00;146889,48
30/11/2023 23:00;436920,5
03/12/2023 23:00;4000,01
18/12/2023 23:00;9959,58
18/12/2023 23:00;418532,39
21/12/2023 23:00;159602,76
28/12/2023 23:00;2164499,6
08/01/2024 23:00;12477,65
21/01/2024 23:00;4758,99
30/01/2024 23:00;155897,27
01/02/2024 23:00;439359,68
06/02/2024 23:00;44509,45
21/02/2024 23:00;62440,21
27/02/2024 23:00;180832,18
28/02/2024 23:00;5690,05
04/03/2024 23:00;112795,8
10/03/2024 23:00;19108,01
10/03/2024 23:00;51316,58
11/03/2024 23:00;8505,21
11/03/2024 23:00;8216,42
11/03/2024 23:00;40475,05
11/03/2024 23:00;39840,09
17/03/2024 23:00;39118,7
18/03/2024 23:00;16347,94
18/03/2024 23:00;12932,46
18/03/2024 23:00;30205,16
18/03/2024 23:00;13995,27
18/03/2024 23:00;12093,14
18/03/2024 23:00;10893,54
18/03/2024 23:00;9040,25
18/03/2024 23:00;13841,07
18/03/2024 23:00;10831,61
18/03/2024 23:00;6261,22
18/03/2024 23:00;6829,58
20/03/2024 23:00;43176,07
20/03/2024 23:00;18698,95
20/03/2024 23:00;36610,84
20/03/2024 23:00;16756,93
02/04/2024 22:00;11015,68
02/04/2024 22:00;7071,86
02/04/2024 22:00;20738,18
02/04/2024 22:00;4862,94
02/04/2024 22:00;19943,49
04/04/2024 22:00;103153,74
04/04/2024 22:00;66769,29
04/04/2024 22:00;35892,78
10/04/2024 22:00;9857,73
11/04/2024 22:00;4665,87
11/04/2024 22:00;85034,14
11/04/2024 22:00;798,16
11/04/2024 22:00;2413,49
11/04/2024 22:00;14881,6
11/04/2024 22:00;46145,32
11/04/2024 22:00;4128,9
18/04/2024 22:00;86156,82
24/04/2024 22:00;70894,53
24/04/2024 22:00;71014,8
28/04/2024 22:00;32379,63
05/05/2024 22:00;22852,21
05/05/2024 22:00;69784,14
05/05/2024 22:00;285245,86
05/05/2024 22:00;3634,77
05/05/2024 22:00;4910,79
12/05/2024 22:00;60202,98
12/05/2024 22:00;22331,93
15/05/2024 22:00;815958,72
15/05/2024 22:00;214091,78
21/05/2024 22:00;120300,19
22/05/2024 22:00;200564,9
22/05/2024 22:00;35838,58
22/05/2024 22:00;66646,74
23/05/2024 22:00;27599,6
26/05/2024 22:00;6803,32
27/05/2024 22:00;17429,35
27/05/2024 22:00;10792,16
27/05/2024 22:00;17782,42
27/05/2024 22:00;21135,64
27/05/2024 22:00;12113,32
28/05/2024 22:00;4223194,1
29/05/2024 22:00;237984,34
29/05/2024 22:00;30276,38
30/05/2024 22:00;365139,44
03/06/2024 22:00;35254,08
03/06/2024 22:00;21263,02
03/06/2024 22:00;9124,49
03/06/2024 22:00;47770,04
04/06/2024 22:00;4934,06
04/06/2024 22:00;234787,7
04/06/2024 22:00;10943,46
07/06/2024 22:00;1004067,11
11/06/2024 22:00;20479,81
11/06/2024 22:00;32297,35
11/06/2024 22:00;7314,94
13/06/2024 22:00;79560,57
13/06/2024 22:00;84322,75
13/06/2024 22:00;58290,52
13/06/2024 22:00;47179,78
13/06/2024 22:00;22973,25
13/06/2024 22:00;128291,46
13/06/2024 22:00;102597,17
18/06/2024 22:00;26283,37
20/06/2024 22:00;508,86
20/06/2024 22:00;29,03
24/06/2024 22:00;41754,13
30/06/2024 22:00;84091,33
30/06/2024 22:00;15725,74
30/06/2024 22:00;291844,71
30/06/2024 22:00;164806,3
11/07/2024 22:00;15973,62
14/07/2024 22:00;78227,06
14/07/2024 22:00;2699,64
14/07/2024 22:00;46,85
14/07/2024 22:00;4549,85
14/07/2024 22:00;3092,93
14/07/2024 22:00;2204,13
14/07/2024 22:00;116,66
30/07/2024 22:00;48160,64
31/07/2024 22:00;227401,13
31/07/2024 22:00;248852,13
01/08/2024 22:00;36601,01
06/08/2024 22:00;32752,65
11/08/2024 22:00;971793,41
13/08/2024 22:00;70979,46
18/08/2024 22:00;4184,01
18/08/2024 22:00;53202,17
18/08/2024 22:00;32559,53
19/08/2024 22:00;33151,69
19/08/2024 22:00;411992,93
19/08/2024 22:00;4500,01
22/08/2024 22:00;43674,3
06/09/2024 22:00;55581,42
08/09/2024 22:00;303232,98
09/09/2024 22:00;11416,27
11/09/2024 22:00;9843,47
12/09/2024 22:00;151057,83
16/09/2024 22:00;513,57
16/09/2024 22:00;8114,95
22/09/2024 22:00;996848,32
23/09/2024 22:00;376046,83
23/09/2024 22:00;723254,8
25/09/2024 22:00;121172,69
26/09/2024 22:00;48196,96
26/09/2024 22:00;19752,66
29/09/2024 22:00;75150,35
01/10/2024 22:00;29256,95
03/10/2024 22:00;59779,16
14/10/2024 22:00;20749,86
16/10/2024 22:00;4250,47
16/10/2024 22:00;934,24
17/10/2024 22:00;8154,47
17/10/2024 22:00;11621,62
17/10/2024 22:00;3646,38
17/10/2024 22:00;5130,73
17/10/2024 22:00;20918,17
17/10/2024 22:00;73738,56
17/10/2024 22:00;10815,71
17/10/2024 22:00;10988,29
17/10/2024 22:00;2968,22
17/10/2024 22:00;8994,72
17/10/2024 22:00;978,34
21/10/2024 22:00;144339,41
22/10/2024 22:00;4438459,34
22/10/2024 22:00;3149313,89
23/10/2024 22:00;370254,82
24/10/2024 22:00;15146,53
30/10/2024 23:00;98986,49
03/11/2024 23:00;1580797,36
03/11/2024 23:00;379373,36
06/11/2024 23:00;22500
07/11/2024 23:00;44918,42
07/11/2024 23:00;21506,21
10/11/2024 23:00;12802,01
12/11/2024 23:00;24181,02
17/11/2024 23:00;20446,55
17/11/2024 23:00;32651,05
17/11/2024 23:00;42040,79
17/11/2024 23:00;9513,39
17/11/2024 23:00;1660,73
19/11/2024 23:00;31506,71
20/11/2024 23:00;384272,36
21/11/2024 23:00;75150,35
24/11/2024 23:00;250706,13
24/11/2024 23:00;46695,95
26/11/2024 23:00;443275,67
26/11/2024 23:00;69281,52
26/11/2024 23:00;-9365,68
08/12/2024 23:00;22071,01
